epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9976,1.88923,2.56655,1.54398,0.00168,0.03181,0.00023,7e-05,4.37079,20.6102,7.09736,0.00496815,0.00496815,0.0718471
2,125.458,1.86232,2.3162,1.52069,0.02905,0.17452,0.00985,0.00461,2.15778,9.43756,1.72228,0.00995294,0.00995294,0.0434986
3,189.402,1.76151,2.18196,1.45766,0.1263,0.1761,0.07534,0.03929,1.74778,2.29311,1.42492,0.0148769,0.0148769,0.0150892
4,255.931,1.68352,2.12365,1.41875,0.18615,0.17457,0.11752,0.0583,1.61821,1.61616,1.29223,0.0147948,0.0147948,0.0147948
5,325.437,1.62079,1.99697,1.37799,0.17913,0.22003,0.1059,0.0549,1.63705,1.93768,1.29899,0.0146366,0.0146366,0.0146366
6,392.781,1.54256,1.90883,1.33823,0.19489,0.28478,0.15208,0.0823,1.51952,1.46878,1.23252,0.0144348,0.0144348,0.0144348
7,459.643,1.5007,1.82961,1.3049,0.22411,0.28489,0.1689,0.09217,1.44877,1.35008,1.1865,0.0141907,0.0141907,0.0141907
8,534.042,1.4844,1.78943,1.29418,0.24085,0.27624,0.17458,0.10351,1.43739,1.41634,1.19107,0.0139059,0.0139059,0.0139059
9,621.922,1.47137,1.78928,1.29459,0.23562,0.3087,0.18064,0.10386,1.38092,1.37335,1.17097,0.013582,0.013582,0.013582
10,692.925,1.42154,1.71923,1.26592,0.26071,0.32284,0.19047,0.10913,1.35085,1.37367,1.15424,0.013221,0.013221,0.013221
11,761.993,1.37894,1.6485,1.23676,0.25342,0.32805,0.18106,0.10303,1.37994,1.39278,1.15704,0.0128253,0.0128253,0.0128253
12,843.457,1.37036,1.66326,1.23394,0.25113,0.29307,0.18214,0.10133,1.36819,1.31102,1.14996,0.0123972,0.0123972,0.0123972
13,933.589,1.3426,1.60203,1.21273,0.25601,0.34397,0.20386,0.11872,1.33238,1.27779,1.14241,0.0119393,0.0119393,0.0119393
14,1020.36,1.32933,1.59239,1.22606,0.26057,0.33151,0.21199,0.11901,1.35076,1.25645,1.15412,0.0114546,0.0114546,0.0114546
15,1088.7,1.30342,1.54304,1.19075,0.28777,0.32488,0.22581,0.12971,1.27843,1.22469,1.1018,0.0109459,0.0109459,0.0109459
