epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6569,1.06873,1.19752,1.04355,0.65969,0.49797,0.556,0.36322,1.03246,0.85834,0.97719,0.000263973,0.000263973,0.0672673
2,49.0946,1.05381,1.12114,1.03134,0.78018,0.45863,0.53896,0.35115,1.02158,0.77056,0.99025,0.00052983,0.00052983,0.0341999
3,74.238,1.05426,1.07868,1.01725,0.64457,0.51322,0.54377,0.35166,1.04102,0.77581,0.982,0.000792447,0.000792447,0.00112915
4,101.31,1.05869,1.09504,1.01081,0.58289,0.45179,0.52672,0.34701,1.02595,0.8198,0.97544,0.000789058,0.000789058,0.000789058
5,127.793,1.04803,1.04458,1.0119,0.61036,0.47838,0.52369,0.33351,1.04932,0.79402,0.99445,0.000780618,0.000780618,0.000780618
6,154.147,1.0486,1.05573,1.00955,0.64798,0.46414,0.54085,0.35374,1.03123,0.80196,0.98707,0.000769856,0.000769856,0.000769856
7,180.215,1.02491,1.00161,0.99458,0.5835,0.49133,0.50073,0.32747,1.03329,0.82089,0.98191,0.000756839,0.000756839,0.000756839
8,207.907,1.011,0.99392,0.98168,0.57377,0.45232,0.49215,0.31837,1.02818,0.8411,0.98354,0.000741646,0.000741646,0.000741646
9,234.418,1.00439,0.98331,0.99205,0.56484,0.46636,0.52437,0.33721,1.04677,0.87219,0.98522,0.000724371,0.000724371,0.000724371
10,262.191,1.00569,0.97704,0.98779,0.52674,0.50476,0.50058,0.32397,1.03318,0.79161,0.98683,0.000705121,0.000705121,0.000705121
11,289.46,1.00076,0.94931,0.9883,0.57373,0.46604,0.51539,0.33142,1.042,0.83779,0.98524,0.000684014,0.000684014,0.000684014
12,316.281,0.98821,0.95263,0.98092,0.49997,0.50478,0.50763,0.3347,1.02233,0.85603,0.97549,0.000661181,0.000661181,0.000661181
13,343.076,0.96535,0.9003,0.97309,0.51016,0.49721,0.50049,0.33018,1.02111,0.79782,0.98455,0.000636763,0.000636763,0.000636763
14,371.172,0.96234,0.88922,0.97291,0.62633,0.47808,0.52611,0.34381,1.02578,0.81251,0.98383,0.000610909,0.000610909,0.000610909
15,400.974,0.95359,0.85325,0.96421,0.52838,0.45379,0.49751,0.32101,1.02102,0.8313,0.98614,0.00058378,0.00058378,0.00058378
16,428.349,0.95207,0.84868,0.96066,0.56201,0.45962,0.50857,0.33489,1.02118,0.80212,0.98134,0.000555543,0.000555543,0.000555543
17,456.548,0.9402,0.83156,0.95926,0.56595,0.44584,0.48496,0.31879,1.01335,0.84651,0.98083,0.000526371,0.000526371,0.000526371
18,483.478,0.9484,0.82912,0.95158,0.53724,0.45156,0.48761,0.31827,1.02405,0.82398,0.98348,0.000496444,0.000496444,0.000496444
19,510.615,0.92684,0.79133,0.94979,0.56344,0.4904,0.50558,0.32919,1.01637,0.78428,0.98372,0.000465948,0.000465948,0.000465948
20,539.481,0.91633,0.78076,0.9449,0.51488,0.47229,0.47011,0.30504,1.01704,0.86107,0.98064,0.00043507,0.00043507,0.00043507
21,570.074,0.921,0.76641,0.94637,0.55147,0.48388,0.49494,0.32295,1.01587,0.83014,0.97768,0.000404,0.000404,0.000404
