old_id,old_name,new_class,new_id
0,AM General Hummer SUV 2000,SUV,0
1,Acura RL Sedan 2012,Sedan,1
2,Acura TL Sedan 2012,Sedan,1
3,Acura TL Type-S 2008,Sedan,1
4,Acura TSX Sedan 2012,Sedan,1
5,Acura Integra Type R 2001,Sedan,1
6,Acura ZDX Hatchback 2012,Hatchback,4
7,Aston Martin V8 Vantage Convertible 2012,ExoticSports,9
8,Aston Martin V8 Vantage Coupe 2012,ExoticSports,9
9,Aston Martin Virage Convertible 2012,ExoticSports,9
10,Aston Martin Virage Coupe 2012,ExoticSports,9
11,Audi RS 4 Convertible 2008,Convertible,3
12,Audi A5 Coupe 2012,Coupe,2
13,Audi TTS Coupe 2012,Coupe,2
14,Audi R8 Coupe 2012,Coupe,2
15,Audi V8 Sedan 1994,Sedan,1
16,Audi 100 Sedan 1994,Sedan,1
17,Audi 100 Wagon 1994,Wagon,5
18,Audi TT Hatchback 2011,Hatchback,4
19,Audi S6 Sedan 2011,Sedan,1
20,Audi S5 Convertible 2012,Convertible,3
21,Audi S5 Coupe 2012,Coupe,2
22,Audi S4 Sedan 2012,Sedan,1
23,Audi S4 Sedan 2007,Sedan,1
24,Audi TT RS Coupe 2012,Coupe,2
25,BMW ActiveHybrid 5 Sedan 2012,Sedan,1
26,BMW 1 Series Convertible 2012,Convertible,3
27,BMW 1 Series Coupe 2012,Coupe,2
28,BMW 3 Series Sedan 2012,Sedan,1
29,BMW 3 Series Wagon 2012,Wagon,5
30,BMW 6 Series Convertible 2007,Convertible,3
31,BMW X5 SUV 2007,SUV,0
32,BMW X6 SUV 2012,SUV,0
33,BMW M3 Coupe 2012,Coupe,2
34,BMW M5 Sedan 2010,Sedan,1
35,BMW M6 Convertible 2010,Convertible,3
36,BMW X3 SUV 2012,SUV,0
37,BMW Z4 Convertible 2012,Convertible,3
38,Bentley Continental Supersports Conv. Convertible 2012,ExoticSports,9
39,Bentley Arnage Sedan 2009,ExoticSports,9
40,Bentley Mulsanne Sedan 2011,ExoticSports,9
41,Bentley Continental GT Coupe 2012,ExoticSports,9
42,Bentley Continental GT Coupe 2007,ExoticSports,9
43,Bentley Continental Flying Spur Sedan 2007,ExoticSports,9
44,Bugatti Veyron 16.4 Convertible 2009,ExoticSports,9
45,Bugatti Veyron 16.4 Coupe 2009,ExoticSports,9
46,Buick Regal GS 2012,Sedan,1
47,Buick Rainier SUV 2007,SUV,0
48,Buick Verano Sedan 2012,Sedan,1
49,Buick Enclave SUV 2012,SUV,0
50,Cadillac CTS-V Sedan 2012,Sedan,1
51,Cadillac SRX SUV 2012,SUV,0
52,Cadillac Escalade EXT Crew Cab 2007,PickupTruck,7
53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,PickupTruck,7
54,Chevrolet Corvette Convertible 2012,Convertible,3
55,Chevrolet Corvette ZR1 2012,Sedan,1
56,Chevrolet Corvette Ron Fellows Edition Z06 2007,ExoticSports,9
57,Chevrolet Traverse SUV 2012,SUV,0
58,Chevrolet Camaro Convertible 2012,Convertible,3
